Comment,Designator,Footprint,LCSC,Quantity
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C8",C_0402_1005Metric,C1525,9
10u,"C1,C5",C_0805_2012Metric,C15850,2
15p,"C3,C4",C_0402_1005Metric,C1548,2
1k,"R2,R6",R_0402_1005Metric,C11702,2
3.3u,L1,L_pol_2016,C42411119,1
33,"R5,R7,R8",R_0402_1005Metric,C25105,3
4.7u,"C10,C6,C7,C9",C_0402_1005Metric,C23733,4
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
RP2354A,U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,C41378174,1
USB_B_Micro,J3,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,,1
SW_Push,SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,,1
Micro_SD_Card_Det1,J5,TF-SMD_TF-015,,1
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,,1
USB_A,J2,usb_conn_throughhole_aliexpress,,1
10k,R9,R_0402_1005Metric,,1
10k,R12,R_0402_1005Metric,,1
10k,R10,R_0402_1005Metric,,1
USB_A,J1,USB_A_Molex_67643_Horizontal,,1
100n,C19,C_0402_1005Metric,,1
SW_Push,SW2,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,,1
10u,C2,C_0805_2012Metric,,1
1k,R4,R_0402_1005Metric,,1
10k,R11,R_0402_1005Metric,,1
10k,R1,R_0402_1005Metric,,1
10k,R13,R_0402_1005Metric,,1
10k,R3,R_0402_1005Metric,,1
