Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,101.0768,-76.5556,180.0,top
C10,4.7u,C_0402_1005Metric,116.6368,-90.5992,-90.0,top
C11,100n,C_0402_1005Metric,122.5328,-83.3144,0.0,top
C12,100n,C_0402_1005Metric,115.8728,-79.1464,180.0,top
C13,100n,C_0402_1005Metric,111.8648,-81.3864,180.0,top
C14,100n,C_0402_1005Metric,122.5048,-84.4144,0.0,top
C15,100n,C_0402_1005Metric,112.1188,-85.0144,180.0,top
C16,100n,C_0402_1005Metric,121.4888,-88.2444,0.0,top
C17,100n,C_0402_1005Metric,121.92,-80.6932,90.0,top
C18,100n,C_0402_1005Metric,112.3716,-87.5584,180.0,top
C19,100n,C_0402_1005Metric,124.3076,-88.618,90.0,bottom
C2,10u,C_0805_2012Metric,109.474,-83.754,90.0,bottom
C3,15p,C_0402_1005Metric,114.2792,-90.1164,90.0,top
C4,15p,C_0402_1005Metric,114.4016,-92.8924,-90.0,top
C5,10u,C_0805_2012Metric,105.41,-85.5472,180.0,top
C6,4.7u,C_0402_1005Metric_small_pads,119.2758,-79.2144,0.0,top
C7,4.7u,C_0402_1005Metric_small_pads,119.2758,-78.2144,0.0,top
C8,100n,C_0402_1005Metric,112.1188,-83.1644,180.0,top
C9,4.7u,C_0402_1005Metric,121.5908,-78.7944,-90.0,top
J1,USB_A,USB_A_Molex_67643_Horizontal,129.9574,-85.2592,90.0,top
J2,USB_A,usb_conn_throughhole_aliexpress,100.55,-85.0,-90.0,top
J3,USB_B_Micro,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,121.5156,-92.3736,0.0,bottom
J5,Micro_SD_Card_Det1,TF-SMD_TF-015,118.239,-81.9805,180.0,bottom
L1,3.3u,L_pol_2016,119.3908,-76.6144,0.0,top
R1,10k,R_0402_1005Metric,119.9408,-88.6948,180.0,bottom
R10,10k,R_0402_1005Metric,117.8072,-88.6968,0.0,bottom
R11,10k,R_0402_1005Metric,110.0308,-87.9856,0.0,bottom
R12,10k,R_0402_1005Metric,121.92,-88.138,180.0,bottom
R13,10k,R_0402_1005Metric,112.5728,-89.3044,90.0,bottom
R2,1k,R_0402_1005Metric,115.4684,-91.5944,-90.0,top
R3,10k,R_0402_1005Metric,114.4016,-89.2576,270.0,bottom
R4,1k,R_0402_1005Metric,101.2952,-93.2708,90.0,bottom
R5,33,R_0402_1005Metric,123.2896,-78.3336,180.0,top
R6,1k,R_0402_1005Metric,101.2952,-93.2708,-90.0,top
R7,33,R_0402_1005Metric,115.822,-78.1304,0.0,top
R8,33,R_0402_1005Metric,115.822,-77.1144,0.0,top
R9,10k,R_0402_1005Metric,116.1288,-89.152,270.0,bottom
SW1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,105.3162,-92.007,0.0,top
SW2,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,105.2904,-92.007,180.0,bottom
U1,RP2354A,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,117.2408,-83.8144,0.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,106.7168,-79.9596,-90.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,111.4852,-91.3964,-90.0,top
